epoch,accuracy,loss
0,0.9948767423629761,0.08411569893360138
1,0.9966620802879333,0.01695418730378151
2,0.99687260389328,0.014740733429789543
3,0.9971721768379211,0.013150883838534355
4,0.997340202331543,0.012419016100466251
5,0.9973280429840088,0.012151777744293213
6,0.9974697232246399,0.01155321765691042
7,0.9974697232246399,0.01134574692696333
8,0.9975608587265015,0.01111307181417942
9,0.9974697232246399,0.011358619667589664
10,0.9975588321685791,0.011129345744848251
11,0.9975628852844238,0.011070757173001766
12,0.9976316690444946,0.01088153850287199
13,0.997601330280304,0.010990756563842297
14,0.9976357221603394,0.010794508270919323
15,0.997552752494812,0.010742480866611004
16,0.9975749850273132,0.01078807283192873
17,0.9977288246154785,0.010512342676520348
18,0.9975749850273132,0.010736895725131035
19,0.9976761937141418,0.010695667937397957
20,0.9975729584693909,0.010741191916167736
21,0.9976357221603394,0.010661209002137184
22,0.9976296424865723,0.010603786446154118
23,0.9976863265037537,0.010518204420804977
24,0.9975891709327698,0.0105983205139637
25,0.9976276159286499,0.010569727048277855
26,0.9976580142974854,0.010487910360097885
27,0.9976964592933655,0.010270423255860806
28,0.9976822733879089,0.010447176173329353
29,0.9974656701087952,0.010798359289765358
30,0.9976761937141418,0.010473344475030899
31,0.9976680874824524,0.010430533438920975
32,0.9976802468299866,0.01054221112281084
33,0.9977895617485046,0.010293050669133663
34,0.9976499080657959,0.010617065243422985
35,0.9978057742118835,0.010266720317304134
36,0.9976944327354431,0.010543311946094036
37,0.9978300333023071,0.010302722454071045
38,0.9977389574050903,0.010313175618648529
39,0.9976499080657959,0.010326821357011795
40,0.9977389574050903,0.010235930792987347
41,0.9977328777313232,0.01017899438738823
42,0.9976802468299866,0.010407820343971252
43,0.9976397752761841,0.010546521283686161
44,0.9976924061775208,0.010416403412818909
45,0.9977349042892456,0.010177421383559704
46,0.9976094365119934,0.010270649567246437
47,0.9976438283920288,0.010398716665804386
48,0.9976094365119934,0.010810513980686665
49,0.9976721405982971,0.010529604740440845
50,0.9977450370788574,0.010212121531367302
51,0.9976741671562195,0.010171184316277504
52,0.9976640939712524,0.010612498968839645
53,0.9976741671562195,0.010439621284604073
54,0.9976114630699158,0.010489631444215775
55,0.9977267980575562,0.010254179127514362
56,0.9977531433105469,0.010330813005566597
57,0.9977632761001587,0.010358326137065887
58,0.9977167248725891,0.010427825152873993
59,0.997607409954071,0.010284654796123505
60,0.9977531433105469,0.010203497484326363
61,0.9976661205291748,0.01045188307762146
62,0.9977349042892456,0.010187639854848385
63,0.9975770115852356,0.010600115172564983
64,0.997655987739563,0.010289249010384083
65,0.9976822733879089,0.010329687036573887
66,0.9975568056106567,0.010751827619969845
67,0.9977490901947021,0.010168077424168587
68,0.9975405931472778,0.010673419572412968
69,0.9976600408554077,0.010310730896890163
70,0.9977086186408997,0.01062354538589716
71,0.9977490901947021,0.010292602702975273
72,0.9976782202720642,0.010662585496902466
73,0.9977308511734009,0.010175199247896671
74,0.9976397752761841,0.01052174437791109
75,0.9976863265037537,0.010114386677742004
76,0.9976802468299866,0.010181833058595657
77,0.9975628852844238,0.010315483435988426
78,0.9976519346237183,0.010589809156954288
79,0.9976620674133301,0.010486556217074394
80,0.9978502988815308,0.009989065118134022
81,0.9977996945381165,0.010067728348076344
82,0.9977207183837891,0.01013928186148405
83,0.9974940419197083,0.010895461775362492
84,0.997579038143158,0.010684354230761528
85,0.997791588306427,0.010165791027247906
86,0.9974333047866821,0.010767101310193539
87,0.9974879622459412,0.01109971385449171
88,0.9975284337997437,0.010704689659178257
89,0.9975385665893555,0.01047198660671711
90,0.9976964592933655,0.010150612331926823
91,0.9976964592933655,0.010426218621432781
92,0.9975183010101318,0.010817295871675014
93,0.9977247714996338,0.010283282957971096
94,0.9977328777313232,0.010327907279133797
95,0.9976154565811157,0.010408586822450161
96,0.997601330280304,0.010374648496508598
97,0.9976397752761841,0.0103915361687541
98,0.9976924061775208,0.010196099989116192
99,0.9977409839630127,0.010188241489231586
