epoch,accuracy,loss,val_accuracy,val_loss
0,0.9989757537841797,0.0059510343708097935,0.9437896013259888,0.3885723352432251
1,0.9989757537841797,0.005979062058031559,0.9435517191886902,0.3853195011615753
2,0.9989534616470337,0.005999580956995487,0.9451817870140076,0.37641242146492004
3,0.998949408531189,0.005895883310586214,0.9431144595146179,0.3733149468898773
4,0.998955488204956,0.006089968141168356,0.9452203512191772,0.3591535687446594
5,0.9989312291145325,0.005995489191263914,0.9451624751091003,0.37040627002716064
6,0.998949408531189,0.006011320278048515,0.9452139139175415,0.37403735518455505
7,0.9989373087882996,0.00609614560380578,0.9451753497123718,0.35983505845069885
8,0.9989595413208008,0.00601101852953434,0.9451785683631897,0.3732519745826721
9,0.998955488204956,0.005952168721705675,0.9436095952987671,0.3685838282108307
10,0.9989534616470337,0.006032402627170086,0.9451978802680969,0.41838765144348145
11,0.9989575147628784,0.006031658034771681,0.9433459639549255,0.4083214998245239
12,0.9989595413208008,0.005994337145239115,0.9451432228088379,0.3946693539619446
13,0.9989757537841797,0.005990953184664249,0.9428636431694031,0.41833367943763733
14,0.9989514350891113,0.005982284899801016,0.9429922699928284,0.3929005563259125
15,0.9989352822303772,0.005953414365649223,0.9436224102973938,0.370319128036499
16,0.9989676475524902,0.005998022388666868,0.9427382946014404,0.4178169071674347
17,0.9989575147628784,0.0060493480414152145,0.9451432228088379,0.37070173025131226
18,0.9989737272262573,0.005982940085232258,0.9388383030891418,0.3973337411880493
19,0.9989575147628784,0.006001599133014679,0.941892683506012,0.38948771357536316
20,0.998949408531189,0.006004274357110262,0.9435549378395081,0.4096098840236664
21,0.9989676475524902,0.005931956227868795,0.9429954886436462,0.39563292264938354
22,0.9989534616470337,0.005982604809105396,0.945172131061554,0.370136559009552
23,0.9989676475524902,0.005917560309171677,0.9451785683631897,0.37212252616882324
24,0.9989656209945679,0.006008601747453213,0.9451689124107361,0.3647218346595764
25,0.9989433884620667,0.006033828016370535,0.9451753497123718,0.4084015488624573
26,0.998955488204956,0.00603505177423358,0.9432173371315002,0.3829549551010132
27,0.9989615678787231,0.005995228886604309,0.9451753497123718,0.35488975048065186
28,0.9989373087882996,0.005954633466899395,0.9428636431694031,0.36983469128608704
29,0.998977780342102,0.005963630974292755,0.9451464414596558,0.38130632042884827
30,0.9989696741104126,0.006060033570975065,0.9435967206954956,0.38282695412635803
31,0.998945415019989,0.005905634723603725,0.945172131061554,0.37826472520828247
32,0.998971700668335,0.005945746321231127,0.9451817870140076,0.4052572548389435
33,0.9989656209945679,0.006072855554521084,0.9432559013366699,0.37212443351745605
34,0.998945415019989,0.005986842326819897,0.9438121318817139,0.3843628168106079
35,0.9989737272262573,0.005962666589766741,0.9451785683631897,0.36337435245513916
36,0.9989473819732666,0.005978941917419434,0.9434777498245239,0.38727298378944397
37,0.9989757537841797,0.00596073130145669,0.9451817870140076,0.38329586386680603
38,0.9989534616470337,0.0059689744375646114,0.9431080222129822,0.3750922977924347
39,0.9989635944366455,0.006019312888383865,0.9451914429664612,0.3852018415927887
40,0.9989595413208008,0.0060210274532437325,0.9438056945800781,0.366410493850708
41,0.9989575147628784,0.006062897387892008,0.9451624751091003,0.3733863830566406
42,0.9989635944366455,0.006020290311425924,0.9435517191886902,0.38604089617729187
43,0.998949408531189,0.006086135748773813,0.7801355719566345,0.8239096403121948
44,0.9989514350891113,0.006008455529808998,0.9436931610107422,0.3617134094238281
45,0.998955488204956,0.006042409688234329,0.9451753497123718,0.3727560043334961
46,0.998955488204956,0.0059539382345974445,0.9451817870140076,0.3879741430282593
47,0.998923122882843,0.0060355169698596,0.9451914429664612,0.35650280117988586
48,0.998949408531189,0.005996133666485548,0.9451528191566467,0.38493525981903076
49,0.9989798069000244,0.00600938405841589,0.945194661617279,0.37048596143722534
50,0.9989473819732666,0.005943885073065758,0.9428604245185852,0.37598392367362976
51,0.9989352822303772,0.005944947246462107,0.9451785683631897,0.38992369174957275
52,0.9989838600158691,0.005972641985863447,0.9451174736022949,0.3576505780220032
53,0.998949408531189,0.006005419883877039,0.945194661617279,0.3817504346370697
54,0.9989676475524902,0.005995909217745066,0.9452235698699951,0.35821112990379333
55,0.998949408531189,0.006017657928168774,0.9432302117347717,0.39481255412101746
56,0.9989352822303772,0.006032428238540888,0.9451753497123718,0.3816159963607788
57,0.9989676475524902,0.005997966509312391,0.9431401491165161,0.3774050176143646
